compound_dir,reduced_formula,n_sites,icohp_per_atom,delta_icohp_per_atom_vs_most_bonding,compound_id,mp_id,family,theoretical,energy_above_hull_eV_per_atom
/home/gilles/viability/mp_dataset/structures/extension_LiF_exp_mp-1138,LiF,2,-9.557250000000005,0.045709999999985484,extension_LiF_exp_mp-1138,mp-1138,extension,False,0.0
/home/gilles/viability/mp_dataset/structures/extension_LiP5_exp_mp-2412,LiP5,24,-8.561532083333335,0.0,extension_LiP5_exp_mp-2412,mp-2412,extension,False,0.007694938690475439
/home/gilles/viability/mp_dataset/structures/extension_LiP5_theo_mp-32760,LiP5,24,-8.526423333333335,0.035108749999999134,extension_LiP5_theo_mp-32760,mp-32760,extension,True,0.09630660601190577
/home/gilles/viability/mp_dataset/structures/extension_MgCl2_exp_mp-23210,MgCl2,9,-2.1209655555555513,0.0,extension_MgCl2_exp_mp-23210,mp-23210,extension,False,0.0
/home/gilles/viability/mp_dataset/structures/exp_metastable_MgCl2_mp-570259,MgCl2,3,-2.1186233333333333,0.0023422222222180267,exp_metastable_MgCl2_mp-570259,mp-570259,exp_metastable,False,0.0006391266666669893
/home/gilles/viability/mp_dataset/structures/extension_MgCl2_theo_mp-569626,MgCl2,6,-1.8778883333333323,0.24307722222221906,extension_MgCl2_theo_mp-569626,mp-569626,extension,True,0.19913082333333376
/home/gilles/viability/mp_dataset/structures/extension_MgF2_theo_mp-1062842,MgF2,3,-2.385966666666668,0.0,extension_MgF2_theo_mp-1062842,mp-1062842,extension,True,0.26364889999999974
/home/gilles/viability/mp_dataset/structures/extension_MgF2_exp_mp-1072956,MgF2,6,-2.364518333333336,0.02144833333333196,extension_MgF2_exp_mp-1072956,mp-1072956,extension,False,0.0024727899999996694
/home/gilles/viability/mp_dataset/structures/theo_metastable_MgF2_mp-560236,MgF2,6,-1.9724499999999985,0.4135166666666694,theo_metastable_MgF2_mp-560236,mp-560236,theo_metastable,True,0.10763880333333375
/home/gilles/viability/mp_dataset/structures/extension_MgO_theo_mp-1009127,MgO,2,-3.4051800000000014,0.0,extension_MgO_theo_mp-1009127,mp-1009127,extension,True,0.7484379050000003
/home/gilles/viability/mp_dataset/structures/extension_MgO_exp_mp-549706,MgO,4,-3.063594999999997,0.34158500000000425,extension_MgO_exp_mp-549706,mp-549706,extension,False,0.11804199249999936
/home/gilles/viability/mp_dataset/structures/extension_MgS_exp_mp-1315,MgS,2,-2.7158599999999993,0.0,extension_MgS_exp_mp-1315,mp-1315,extension,False,0.0
/home/gilles/viability/mp_dataset/structures/extension_MgS_theo_mp-13032,MgS,2,-2.6395999999999997,0.07625999999999955,extension_MgS_theo_mp-13032,mp-13032,extension,True,0.034344234999999834
/home/gilles/viability/mp_dataset/structures/theo_metastable_MgSn_mp-1094801,MgSn,2,-4.41211,0.0,theo_metastable_MgSn_mp-1094801,mp-1094801,theo_metastable,True,0.021182148749999463
/home/gilles/viability/mp_dataset/structures/theo_metastable_MgSn_mp-1094669,MgSn,2,-3.9228850000000004,0.4892249999999998,theo_metastable_MgSn_mp-1094669,mp-1094669,theo_metastable,True,0.0559883787500004
/home/gilles/viability/mp_dataset/structures/theo_metastable_Na2Cl_mp-990084,Na2Cl,3,-1.236166666666666,0.0,theo_metastable_Na2Cl_mp-990084,mp-990084,theo_metastable,True,0.1105395928735633
/home/gilles/viability/mp_dataset/structures/extension_Na2Cl_theo_mp-1077015,Na2Cl,6,-1.086893333333333,0.14927333333333292,extension_Na2Cl_theo_mp-1077015,mp-1077015,extension,True,0.23910790120689684
/home/gilles/viability/mp_dataset/structures/extension_Na2O_exp_mp-2352,Na2O,3,-2.1833266666666664,0.0,extension_Na2O_exp_mp-2352,mp-2352,extension,False,0.0
/home/gilles/viability/mp_dataset/structures/extension_Na2O_theo_mp-1975297,Na2O,6,-1.9271383333333352,0.25618833333333124,extension_Na2O_theo_mp-1975297,mp-1975297,extension,True,0.09812461166666742
/home/gilles/viability/mp_dataset/structures/extension_NaN3_exp_mp-22003,NaN3,4,-10.984982499999989,0.0,extension_NaN3_exp_mp-22003,mp-22003,extension,False,0.0017140024999999781
/home/gilles/viability/mp_dataset/structures/exp_metastable_NaN3_mp-1066400,NaN3,4,-10.705974999999997,0.27900749999999164,exp_metastable_NaN3_mp-1066400,mp-1066400,exp_metastable,False,0.0029249474999994973
/home/gilles/viability/mp_dataset/structures/extension_NaN3_theo_mp-1065265,NaN3,4,-7.080340000000003,3.9046424999999854,extension_NaN3_theo_mp-1065265,mp-1065265,extension,True,1.0162235174999994
/home/gilles/viability/mp_dataset/structures/extension_NaS_exp_mp-409,NaS,12,-2.940847499999998,0.0,extension_NaS_exp_mp-409,mp-409,extension,False,0.002286554999999524
/home/gilles/viability/mp_dataset/structures/exp_stable_NaS_mp-2400,NaS,8,-2.936659999999999,0.0041874999999991225,exp_stable_NaS_mp-2400,mp-2400,exp_stable,False,0.0
/home/gilles/viability/mp_dataset/structures/extension_NaS_theo_mp-1180106,NaS,2,-1.0320399999999998,1.9088074999999982,extension_NaS_theo_mp-1180106,mp-1180106,extension,True,1.0060650862499996
/home/gilles/viability/mp_dataset/structures/exp_stable_PbSe_mp-2201,PbSe,2,-4.903099999999999,0.0,exp_stable_PbSe_mp-2201,mp-2201,exp_stable,False,0.0
/home/gilles/viability/mp_dataset/structures/exp_metastable_PbSe_mp-22009,PbSe,4,-4.432467500000002,0.4706324999999971,exp_metastable_PbSe_mp-22009,mp-22009,exp_metastable,False,0.07310882999999535
/home/gilles/viability/mp_dataset/structures/extension_Rb2O_exp_mp-1394,Rb2O,6,-4.064441666666665,0.0,extension_Rb2O_exp_mp-1394,mp-1394,extension,False,0.0031695866666665573
/home/gilles/viability/mp_dataset/structures/extension_Rb2O_theo_mp-2023482,Rb2O,9,-2.58172,1.4827216666666656,extension_Rb2O_theo_mp-2023482,mp-2023482,extension,True,0.047853428888886995
