compound_id,mp_id,formula,theoretical,energy_above_hull_eV_per_atom,formation_energy_per_atom_eV,delta_energy_per_atom_eV,delta_icohp_per_atom_eV,bonding_label,viability_label,warnings
extension_Rb3In_mp-974948,mp-974948,Rb3In,True,0.16634191892045447,0.10907340770833374,-0.10907340770833374,-2.5986281250000007,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_Rb3Li_mp-974938,mp-974938,Rb3Li,True,0.14514899354166677,0.14514899354166677,-0.14514899354166677,-0.7560447916666662,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_Rb3P11_mp-1173444,mp-1173444,Rb3P11,True,0.27383845571428367,-0.043510536683672996,0.043510536683672996,-0.0004716156462610651,exobondic,stable_on_hull,
extension_Rb3P_mp-974822,mp-974822,Rb3P,True,0.11857260520833357,-0.06112599428571386,0.06112599428571386,0.9067399404761902,endobondic,stable_on_hull,
extension_RbCl_exp_mp-23299,mp-23299,RbCl,False,0.02977404000000128,-2.2150984737499986,2.2150984737499986,1.792408750000001,endobondic,stable_on_hull,
extension_RbF_exp_mp-2064,mp-2064,RbF,False,0.05158332500000107,-2.8214060062499984,2.8214060062499984,3.924386250000003,endobondic,stable_on_hull,
extension_RbF_theo_mp-11718,mp-11718,RbF,True,0.0,-2.8729893312499994,2.8729893312499994,1.949701249999999,endobondic,stable_on_hull,
extension_RbN3_exp_mp-581833,mp-581833,RbN3,False,0.019336026250000415,-0.39161828312500013,0.39161828312500013,2.345006875000001,endobondic,stable_on_hull,
extension_RbN3_theo_mp-1219567,mp-1219567,RbN3,True,0.79660387875,0.3856495693749995,-0.3856495693749995,0.12922187499999005,endobondic,metastable_viable,
extension_RbP15_mp-1209298,mp-1209298,RbP15,True,0.0,-0.10102487669642723,0.10102487669642723,-0.10656897321428094,exobondic,stable_on_hull,
extension_RbP_exp_mp-1179688,mp-1179688,RbP,False,0.9878872979166671,0.6284900989285722,-0.6284900989285722,-1.9314526190476196,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_RbP_theo_mp-1058499,mp-1058499,RbP,True,0.9881531929166671,0.6287559939285723,-0.6287559939285723,-1.9104026190476202,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_RbS_exp_mp-558071,mp-558071,RbS,False,0.0018650299999998232,-1.1575999733333306,1.1575999733333306,-0.32169281249999804,exobondic,stable_on_hull,
extension_RbS_theo_mp-1179684,mp-1179684,RbS,True,0.9974513208333313,-0.16201368249999915,0.16201368249999915,-2.7347153124999974,exobondic,stable_on_hull,
