bond_type_group,formula,compound_id,mp_id,spacegroup_symbol,theoretical,antibond_w_raw,pct_vs_ground_state_icohp,delta_icohp_antibond,icobi_antibond_w_raw,pct_vs_ground_state_icobi,delta_icobi_antibond,dH_eV_at
metallic,ReC,extension_ReC_poly_mp-1009731,mp-1009731,Pm-3m,True,0.0035672116,-36.847754739797644,-0.000186876225,1.20144e-05,-88.67976794956475,0.0001176495999999,0.47880104000000046
metallic,RuC,extension_RuC_anchor_mp-10030,mp-10030,P-6m2,False,0.00796371095,0.0,0.002299885425,0.00030989065,0.0,0.0004531911,0.0
metallic,RuC,extension_RuC_poly_mp-1009787,mp-1009787,Fm-3m,True,0.01618828795,103.27568456009824,-0.005924691575,0.0002703317,-12.765454524039377,0.00049275005,0.26024437999999595
metallic,SN,extension_SN_poly_mp-684642,mp-684642,P2_1,True,0.01291570945,0.0,,0.00021301825,0.0,,0.0
metallic,SN,extension_SN_poly_mp-1173453,mp-1173453,P2_1,True,0.01844734445,42.828735203547026,,0.0,-100.0,,0.1727430180555558
metallic,SN,extension_SN_poly_mp-1078816,mp-1078816,P2_1/c,True,0.0087556893,-32.208994527977715,,2.57809e-05,-87.89732804583646,,0.25922083958333353
metallic,SiO2,extension_SiO2_poly_mp-556044,mp-556044,P-31c,True,0.0038248681499999,0.0,0.0161848412833334,0.0,,0.0028749328333333,0.0
metallic,SiO2,extension_SiO2_poly_mp-638049,mp-638049,F4_132,True,0.0108653638999999,184.07159342212057,0.0091443455333334,0.0,,0.0028749328333333,0.28739460527777827
metallic,Sn,extension_Snalpha_mp-117,mp-117,Fd-3m,False,5.4315800000000006e-05,0.0,,3.40408e-05,0.0,,0.0
metallic,Sn,extension_Sn_mp-623511,mp-623511,I4/mmm,False,0.0073309014,13396.811977362016,,4.33019e-05,27.205882352941167,,0.0614070049999995
metallic,TaN,extension_TaN_anchor_mp-1497,mp-1497,P6/mmm,False,0.00026007495,0.0,,0.0,,,0.0
metallic,TaN,extension_TaN_poly_mp-1009833,mp-1009833,F-43m,True,0.0,-100.0,,2.7533e-05,,,0.040118584999998264
metallic,TaN,extension_TaN_poly_mp-1009831,mp-1009831,Pm-3m,True,5.556884999999999e-05,-78.63352468201956,,1.051295e-05,,,0.36470064499999566
metallic,TaP,exp_stable_TaP_mp-1067587,mp-1067587,I4_1md,False,0.0,,0.004505014975,0.0,,0.0,0.0
metallic,TaP,theo_metastable_TaP_mp-1187244,mp-1187244,P-6m2,True,0.0,,0.004505014975,0.0,,0.0,0.0032522499999991
metallic,TiNi,exp_stable_TiNi_mp-1048,mp-1048,P2_1/m,False,0.00086058855,0.0,0.015098520125,0.0,,0.00245869325,0.0
metallic,TiNi,theo_metastable_TiNi_mp-1067248,mp-1067248,Cmcm,True,0.0008670994499999,0.7565636330973674,0.0150920092250001,0.0,,0.00245869325,0.0020067824999996
metallic,TiSi2,exp_stable_TiSi2_mp-1077503,mp-1077503,Cmcm,False,0.0,,2.0024e-06,0.0,,0.0,0.0
metallic,TiSi2,theo_metastable_TiSi2_mp-570991,mp-570991,Immm,True,0.0,,2.0024e-06,0.0,,0.0,0.1796053866666653
metallic,TlC,extension_TlC_anchor_mp-567465,mp-567465,Fm-3m,False,0.0,,0.0,5.15662e-05,0.0,-5.15662e-05,0.0
metallic,TlC,extension_TlC_poly_mp-1058887,mp-1058887,P4/mmm,True,0.0,,0.0,1.90228e-05,-63.109944110677155,-1.90228e-05,0.2676925650000008
metallic,TlN,extension_TlN_anchor_mp-1017982,mp-1017982,P6_3mc,False,0.0007987448,0.0,,0.0,,,0.0
metallic,TlN,extension_TlN_poly_mp-1007778,mp-1007778,F-43m,True,0.00051263615,-35.81978248872482,,0.0,,,0.0002934625000001745
metallic,TlN,extension_TlN_poly_mp-1002222,mp-1002222,Fm-3m,True,0.0008373197999999,4.829452410820068,,0.0,,,0.23774118249999898
metallic,WC,extension_WC_anchor_mp-13136,mp-13136,Fm-3m,False,0.0004330336,0.0,-0.0004330336,4.93114e-05,0.0,-4.605745e-05,0.0
metallic,WC,extension_WC_poly_mp-1008635,mp-1008635,F-43m,True,0.0,-100.0,0.0,0.0,-100.0,3.2539500000000013e-06,0.22521632000000125
metallic,WC,extension_WC_poly_mp-1008630,mp-1008630,Pm-3m,True,0.0,-100.0,0.0,5.557024999999999e-05,12.692501125500375,-5.231629999999999e-05,0.45133823999999834
