compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,formation_energy_per_atom,delta_icohp_antibond,delta_icobi_antibond
theo_metastable_SnBr2_mp-978985,mp-978985,SnBr2,theo_metastable,covalent,False,True,0.040465399999999985,-1.1328811783333315,0.0066542744833334305,0.0002574056
theo_metastable_Sr3As4_mp-678007,mp-678007,Sr3As4,theo_metastable,,False,True,0.006247547857142877,-1.126214365714286,0.012918993664285814,0.0021847037357142856
theo_metastable_Sr3Sn_mp-1187136,mp-1187136,Sr3Sn,theo_metastable,metallic,True,True,0.11112304583333454,-0.4344768354166675,0.023305856324999992,0.0028418195625000003
theo_metastable_SrTl3_mp-1206636,mp-1206636,SrTl3,theo_metastable,metallic,True,True,0.029404816250000465,-0.2944864125000066,0.0130968713250001,0.0012158394625000001
theo_metastable_Ta4C3_mp-1218000,mp-1218000,Ta4C3,theo_metastable,,True,True,0.03350051428571277,-0.6343579470476186,0.0,0.0
theo_metastable_TaP_mp-1187244,mp-1187244,TaP,theo_metastable,,True,True,0.0032522499999991794,-0.9923128176547635,0.004505014975,0.0
theo_metastable_TaRe_mp-1217894,mp-1217894,TaRe,theo_metastable,metallic,True,True,0.11133223291667349,-0.2499425399166597,0.00251628387499995,0.00010713699999995
theo_metastable_TcW_mp-1217337,mp-1217337,TcW,theo_metastable,metallic,True,True,0.10564943749999856,0.10564943749999856,0.0034140977,1.101405e-05
theo_metastable_TiMo2_mp-1216675,mp-1216675,TiMo2,theo_metastable,metallic,True,True,0.061337100370366215,-0.058206392222227045,0.002788144033333333,2.870243333333333e-05
theo_metastable_TiNi_mp-1067248,mp-1067248,TiNi,theo_metastable,metallic,True,True,0.0020067824999996375,-0.39384824416666664,0.0150920092250001,0.00245869325
theo_metastable_TiSi2_mp-570991,mp-570991,TiSi2,theo_metastable,metallic,True,True,0.17960538666666537,-0.3584303788888903,2.0023999999999997e-06,0.0
theo_metastable_TiW_mp-1216621,mp-1216621,TiW,theo_metastable,metallic,True,True,0.022547341666665943,0.022547341666665943,0.0,3.2539500000000013e-06
theo_metastable_Tl3Ga_mp-1187539,mp-1187539,Tl3Ga,theo_metastable,metallic,True,True,0.09724636562500422,0.09724636562500422,0.0,0.0
theo_metastable_Tl4Sn_mp-1216560,mp-1216560,Tl4Sn,theo_metastable,metallic,True,True,0.045918155999999044,0.045918155999999044,0.0005818570800000001,-0.0001027246199999
theo_metastable_VCo3_mp-1095057,mp-1095057,VCo3,theo_metastable,metallic,True,True,0.09418410500000007,0.019661535000000896,0.0041099403875,0.001221405212499925
theo_metastable_Y3Co_mp-1189329,mp-1189329,Y3Co,theo_metastable,metallic,True,True,0.0015564962500009827,-0.10440807624999948,0.0014895409625,0.000455694887499975
theo_metastable_YAg3_mp-1187811,mp-1187811,YAg3,theo_metastable,metallic,True,True,0.059440931413043074,-0.20675142624999765,0.0,0.0
theo_metastable_ZnPb3_mp-1187949,mp-1187949,ZnPb3,theo_metastable,metallic,True,True,0.11069147749999786,0.11069147749999786,0.011656721000000026,-2.7533e-05
theo_metastable_Zr3Be_mp-1188016,mp-1188016,Zr3Be,theo_metastable,metallic,True,True,0.14302901249999955,0.07070107874999909,0.0,0.0
theo_metastable_Zr3Ge_mp-1188039,mp-1188039,Zr3Ge,theo_metastable,metallic,True,True,0.18508675843749955,-0.420470967187498,0.00013548125,0.0
theo_metastable_ZrO2_mp-775909,mp-775909,ZrO2,theo_metastable,,False,True,0.06265508166666578,-3.750962673333332,0.019492814983333332,0.002874932833333333
theo_metastable_ZrTi_mp-1215236,mp-1215236,ZrTi,theo_metastable,metallic,True,True,0.0883353483333309,0.0883353483333309,0.0,0.0
