compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,reaction_string,delta_icohp_windowed_total,delta_icohp_windowed_per_atom
exp_stable_CaSn_mp-2450,mp-2450,CaSn,exp_stable,,True,False,0.0,CaSn -> Ca + Sn,-1.6847400000000028,-0.4211850000000007
exp_stable_CdPd_mp-1696,mp-1696,CdPd,exp_stable,,True,False,0.0,CdPd -> Cd + Pd,-3.508880000000002,-0.8772200000000006
exp_stable_CoB_mp-20857,mp-20857,CoB,exp_stable,,True,False,0.0,CoB -> Co + B,0.805409999999994,0.10067624999999925
exp_stable_Cs2As3_mp-15557,mp-15557,Cs2As3,exp_stable,,False,False,0.0,0.5 Cs2As3 -> Cs + 1.5 As,0.3431399999999951,0.03431399999999951
exp_stable_FeS_mp-505531,mp-505531,FeS,exp_stable,,True,False,0.0,FeS -> Fe + S,-0.4426268750000013,-0.11065671875000033
exp_stable_Ge2Os_mp-10032,mp-10032,Ge2Os,exp_stable,,True,False,0.0,0.5 Ge2Os -> Ge + 0.5 Os,-0.9678700000000011,-0.16131166666666685
exp_stable_HfTc2_mp-1095669,mp-1095669,HfTc2,exp_stable,,True,False,0.0,HfTc2 -> Hf + 2 Tc,4.465680000000006,0.3721400000000005
exp_stable_Hg4Pt_mp-936,mp-936,Hg4Pt,exp_stable,,True,False,0.0,0.25 Hg4Pt -> Hg + 0.25 Pt,-1.346909999999999,-0.2693819999999998
exp_stable_HgF2_mp-8177,mp-8177,HgF2,exp_stable,,False,False,0.0,HgF2 -> Hg + F2,0.4215299999999975,0.14050999999999916
exp_stable_InBr_mp-22870,mp-22870,InBr,exp_stable,,False,False,0.0,InBr -> In + Br,0.7867099999999998,0.19667749999999995
exp_stable_KI_mp-22898,mp-22898,KI,exp_stable,,False,False,0.0,KI -> K + I,-1.1290000000000004,-0.5645000000000002
exp_stable_KN3_mp-827,mp-827,KN3,exp_stable,,False,False,0.0,KN3 -> K + 1.5 N2,-4.438250000000001,-0.5547812500000001
exp_stable_Li2Se_mp-2286,mp-2286,Li2Se,exp_stable,,False,False,0.0,0.5 Li2Se -> Li + 0.5 Se,1.155733333333333,0.38524444444444433
exp_stable_LiB_mp-1001835,mp-1001835,LiB,exp_stable,,True,False,0.0,LiB -> Li + B,3.002830000000004,0.750707500000001
exp_stable_Mg2Ni_mp-2137,mp-2137,Mg2Ni,exp_stable,,True,False,0.0,0.5 Mg2Ni -> Mg + 0.5 Ni,-6.316730000000016,-0.3509294444444453
exp_stable_MgP4_mp-384,mp-384,MgP4,exp_stable,,False,False,0.0,MgP4 -> Mg + 4 P,0.35093666666666756,0.03509366666666676
exp_stable_MnAl12_mp-1104165,mp-1104165,MnAl12,exp_stable,,True,False,0.0,MnAl12 -> Mn + 12 Al,1.6136462068965391,0.12412663129973378
exp_stable_MoSe2_mp-1634,mp-1634,MoSe2,exp_stable,,False,False,0.0,MoSe2 -> Mo + 2 Se,-1.9970166666666684,-0.3328361111111114
exp_stable_NaS_mp-2400,mp-2400,NaS,exp_stable,,False,False,0.0,NaS -> Na + S,0.7705062499999977,0.09631328124999972
exp_stable_Nb3Ir_mp-1458,mp-1458,Nb3Ir,exp_stable,,True,False,0.0,0.3333 Nb3Ir -> Nb + 0.3333 Ir,6.726519999999997,0.8408149999999996
exp_stable_NbGa3_mp-1973,mp-1973,NbGa3,exp_stable,,True,False,0.0,NbGa3 -> Nb + 3 Ga,2.512772500000001,0.6281931250000002
exp_stable_PI2_mp-29443,mp-29443,PI2,exp_stable,,False,False,0.0,PI2 -> P + 2 I,-1.252673333333334,-0.20877888888888899
exp_stable_PbSe_mp-2201,mp-2201,PbSe,exp_stable,,False,False,0.0,PbSe -> Pb + Se,0.3195433333333325,0.15977166666666626
exp_stable_RbI_mp-22903,mp-22903,RbI,exp_stable,,False,False,0.0,RbI -> Rb + I,-1.3154200000000003,-0.6577100000000001
exp_stable_Sc5Ge3_mp-17190,mp-17190,Sc5Ge3,exp_stable,,True,False,0.0,0.2 Sc5Ge3 -> Sc + 0.6 Ge,6.260939999999995,0.3913087499999997
exp_stable_ScAg2_mp-1018128,mp-1018128,ScAg2,exp_stable,,True,False,0.0,ScAg2 -> Sc + 2 Ag,1.1446050000000014,0.38153500000000046
exp_stable_ScTe_mp-10026,mp-10026,ScTe,exp_stable,,True,False,0.0,ScTe -> Sc + Te,0.5734366666666686,0.14335916666666715
exp_stable_SnPt_mp-19856,mp-19856,SnPt,exp_stable,,True,False,0.0,SnPt -> Sn + Pt,-6.348530000000005,-1.5871325000000012
exp_stable_SrO2_mp-2697,mp-2697,SrO2,exp_stable,,False,False,0.0,SrO2 -> Sr + O2,-0.32117000000000084,-0.10705666666666695
exp_stable_SrSi_mp-2661,mp-2661,SrSi,exp_stable,,True,False,0.0,SrSi -> Sr + Si,-0.7758400000000001,-0.19396000000000002
exp_stable_Ta5Ge3_mp-17593,mp-17593,Ta5Ge3,exp_stable,,True,False,0.0,0.2 Ta5Ge3 -> Ta + 0.6 Ge,24.015510000000006,1.5009693750000004
