compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,delta_per_formula_unit_eV,delta_per_atom_eV,delta_per_bond_eV
extension_MgO_theo_mp-1009127,mp-1009127,MgO,extension,ionic,False,True,0.7484379050000003,-2.1526437499999993,-1.0763218749999997,-0.13520731442577033
extension_MgPb2_mp-2016042,mp-2016042,MgPb2,extension,metallic,True,True,0.03419048000000657,-8.175815000000004,-2.725271666666668,0.04690784090909084
extension_MgS_exp_mp-1315,mp-1315,MgS,extension,ionic,False,False,0.0,-0.6801231249999962,-0.3400615624999981,-0.255302546445605
extension_MgS_theo_mp-13032,mp-13032,MgS,extension,ionic,False,True,0.034344234999999834,-0.8326431249999953,-0.41632156249999763,-0.22718109114414972
extension_MgTi_mp-1094346,mp-1094346,MgTi,extension,metallic,True,True,0.12570916333333226,-3.19871833333334,-1.59935916666667,-0.0248512793851719
extension_MgTl3_mp-978262,mp-978262,MgTl3,extension,metallic,True,True,0.051357820833329626,-8.744035000000004,-2.186008750000001,-0.06643257878151265
extension_Mn2O7_mp-28338,mp-28338,Mn2O7,extension,covalent,False,False,0.3346113968981488,-13.218389913793033,-1.468709990421448,0.06493495831632862
extension_Mn4B_mp-1221769,mp-1221769,Mn4B,extension,metallic,True,True,0.10306404682758696,6.493708505747108,1.2987417011494216,0.04193838471695044
extension_Mn4Ga_mp-1221812,mp-1221812,Mn4Ga,extension,metallic,True,True,0.1642719892413762,26.37846767241379,5.275693534482758,0.07473042601078225
extension_MnO2_mp-510408,mp-510408,MnO2,extension,metallic,True,False,0.04644304472222238,-1.582223706896574,-0.527407902298858,-0.03928709756097576
extension_Mo2C_mp-1221498,mp-1221498,Mo2C,extension,metallic,True,True,0.06276392999999914,-14.985825000000013,-4.995275000000004,-0.07496332601626032
extension_MoPd2_mp-1206704,mp-1206704,MoPd2,extension,metallic,True,True,0.0,-16.619919999999993,-5.539973333333331,0.015930209727800126
extension_MoRu_mp-1221386,mp-1221386,MoRu,extension,metallic,True,True,0.09995914916666493,-4.560249999999986,-2.280124999999993,0.0027388994396017052
extension_N2O_mp-1180473,mp-1180473,N2O,extension,mixed,False,False,0.2568286241666655,10.914883750000023,3.638294583333341,0.0016293035682742874
extension_NO_mp-1180334,mp-1180334,NO,extension,metallic,True,True,0.6216735074999997,4.274248750000023,2.1371243750000115,-0.07931815267350986
extension_Na2Cl_theo_mp-1077015,mp-1077015,Na2Cl,extension,metallic,True,True,0.23910790120689684,-1.189525000000001,-0.3965083333333337,-0.042020255421686775
extension_Na2O_exp_mp-2352,mp-2352,Na2O,extension,ionic,False,False,0.0,-3.917043750000003,-1.305681250000001,-0.14147785564516135
extension_Na2O_theo_mp-1975297,mp-1975297,Na2O,extension,ionic,False,True,0.09812461166666742,-4.685608749999997,-1.5618695833333325,-0.13923917976190475
extension_Na3Hg_mp-1186050,mp-1186050,Na3Hg,extension,metallic,True,True,0.021215371458335852,-4.096973333333339,-1.0242433333333347,-0.17600842807924216
extension_Na3In_mp-864758,mp-864758,Na3In,extension,metallic,True,True,0.040365352500000284,-9.801500000000006,-2.4503750000000015,-0.06496263955342908
extension_Na3Mg_mp-982637,mp-982637,Na3Mg,extension,metallic,True,True,0.09973374989585748,-0.3086500000000001,-0.07716250000000002,0.007871055718475073
extension_Na3Si34_mp-1221235,mp-1221235,Na3Si34,extension,metallic,True,True,0.05178974374999967,-15.80032,-0.42703567567567563,0.09224352083572496
extension_NaN3_exp_mp-22003,mp-22003,NaN3,extension,mixed,False,False,0.0017140024999999781,8.690514999999955,2.172628749999989,-1.0863396252723314
extension_NaN3_mp-1066400,mp-1066400,NaN3,extension,mixed,False,False,0.0029249474999994973,7.574484999999989,1.8936212499999971,-1.09460651416122
extension_NaN3_mp-22003,mp-22003,NaN3,extension,mixed,False,False,0.0017140024999999781,8.690514999999955,2.172628749999989,-1.0863396252723314
extension_NaN3_mp-634410,mp-634410,NaN3,extension,mixed,False,True,0.26956520750000035,11.609224999999974,2.9023062499999934,-1.1225697240377635
extension_NaN3_theo_mp-1065265,mp-1065265,NaN3,extension,mixed,False,True,1.0162235174999994,-6.928054999999986,-1.7320137499999966,-1.1718090628115652
extension_NaP15_mp-1194653,mp-1194653,NaP15,extension,mixed,False,False,0.0,-1.075911071428692,-0.06724444196429324,-0.039499040077535075
extension_NaP5_mp-31086,mp-31086,NaP5,extension,mixed,False,False,0.009960415000000111,-0.11918619047618506,-0.019864365079364177,-0.13724840569123253
extension_NaS_exp_mp-409,mp-409,NaS,extension,ionic,False,False,0.002286554999999524,-0.9821581249999989,-0.49107906249999944,-0.20413308964597562
extension_NaS_theo_mp-1180106,mp-1180106,NaS,extension,ionic,False,True,1.0060650862499996,-4.799773124999995,-2.3998865624999977,-0.003575731922398351
extension_Nb3Ni_mp-999394,mp-999394,Nb3Ni,extension,metallic,True,True,0.21315346375000033,-27.401929999999993,-6.850482499999998,-0.009364515873015844
extension_Nb4Rh_mp-1220441,mp-1220441,Nb4Rh,extension,metallic,True,True,0.08011662799999897,-24.38028000000002,-4.876056000000004,0.14458501895051495
extension_NbCd3_mp-11309,mp-11309,NbCd3,extension,metallic,True,False,0.14487106500000024,-25.860579999999977,-6.465144999999994,-0.051792398333333156
extension_NbO_anchor_mp-2692,mp-2692,NbO,extension,metallic,True,False,0.7887604083333315,-4.635733749999993,-2.3178668749999964,-0.07554442818110846
extension_NbO_poly_mp-634965,mp-634965,NbO,extension,metallic,True,True,0.8240059083333318,-6.298983749999955,-3.1494918749999776,-0.002906440476189931
extension_NbP_anchor_mp-9830,mp-9830,NbP,extension,metallic,True,False,0.6020631175000002,-4.944822738095237,-2.4724113690476184,-0.16493033531190693
extension_NbP_poly_mp-1220317,mp-1220317,NbP,extension,metallic,True,True,0.6208620024999991,-2.346237738095258,-1.173118869047629,-0.16497634638416825
extension_NbZn16_mp-640041,mp-640041,NbZn16,extension,metallic,True,False,0.0,-121.0796249999998,-7.122330882352929,-0.008373356272733945
extension_Ni3Mo_mp-11506,mp-11506,Ni3Mo,extension,metallic,True,False,0.0,-17.181704999999987,-4.295426249999997,0.007487228341355123
