kpoint_fail_frac,max_band_deviation,charge_spilling_pct,compound_id,delta_per_atom_eV,robust_z
0.2,9.98008,1.6,extension_CsN3_mp-1225892,2.026351250000003,1.444767710847039
0.256,9.53582,1.91,extension_CsN3_mp-510557,1.4024512499999986,1.1544234671006741
0.2,9.98008,1.6,extension_CsN3_theo_mp-1225892,2.026351250000003,1.444767710847039
0.0663265306122449,9.89322,1.33,extension_CsO2_exp_mp-1441,0.0666241666666647,0.532769829840975
0.033527696793002916,7.26123,1.56,extension_CsO2_theo_mp-1096936,0.774327500000003,0.8621136174887521
,,2.05,extension_CsP7_exp_mp-1201790,-0.2977792708333302,0.3631874601030186
,,2.05,extension_CsP7_mp-1201790,-0.2977789583333301,0.3631876055310939
,,2.07,extension_CsP7_mp-1213206,-0.2666670833333295,0.37766613385038633
,,2.07,extension_CsP7_theo_mp-1213206,-0.2666670833333295,0.37766613385038633
0.05333333333333334,4.81204,0.61,extension_CsRb_mp-1225895,-0.0048637499999998,0.49950150943452254
0.064,9.04131,0.74,extension_Cs_mp-1,,
0.078125,9.93795,1.19,extension_Cu2S_mp-12087,-1.1547743749999988,0.035632215187263075
0.19591836734693877,8.61028,1.05,extension_Cu2S_mp-553942,-1.335011041666662,0.11950892408083194
0.02040816326530612,8.84271,1.34,extension_Cu3Te2_mp-1225676,-0.4549306666666659,0.2900539400246164
1.0,11.3832,5.77,extension_Cu4Au_mp-1225761,-380.49547600000005,176.5693541826905
0.07407407407407407,1.42884,1.33,extension_Cu7Te4_mp-624307,-0.833159242424239,0.11403776789511418
,,0.93,extension_CuH_mp-1225705,-0.4439375000000019,0.295169828247425
0.07142857142857142,9.79145,1.73,extension_CuNi_mp-1184069,-1.222854999999996,0.06731488481285038
0.05555555555555555,9.93061,1.43,extension_Cu_mp-30,,
,,0.74,extension_F_mp-561203,,
0.022321428571428572,8.35623,1.76,extension_Fe_mp-13,,
0.25925925925925924,0.140199,1.33,extension_Ga2Au7_mp-571598,-11.064326851851852,4.647239074870621
0.2,5.03471,1.09,extension_Ga3Hg_mp-1184289,-1.4502864583333368,0.17315462639631926
0.037037037037037035,3.31324,0.99,extension_Ga3Pb_mp-1184425,-2.8016781250000005,0.8020515513257457
,,0.99,extension_Ga3Re_mp-1188393,-1.278420000000004,0.09317316002325106
0.01171875,0.00512462,1.23,extension_GaSb_mp-1224785,1.0895087500000002,1.0087894656603862
0.009259259259259259,0.00029789,1.04,extension_Ga_mp-142,,
