compound_id,structure_file,n_sites,n_bonds_icohp,n_bonds_icobi,error,warnings,icohp_n_bonds_used,icohp_coord_bound,icohp_percolation_weight_min,icohp_percolation_direction,icohp_percolation_weight_a,icohp_percolation_status_a,icohp_percolation_weight_b,icohp_percolation_status_b,icohp_percolation_weight_c,icohp_percolation_status_c,icohp_sum,icohp_mean,icohp_min,icohp_max,icobi_n_bonds_used,icobi_coord_bound,icobi_percolation_weight_min,icobi_percolation_direction,icobi_percolation_weight_a,icobi_percolation_status_a,icobi_percolation_weight_b,icobi_percolation_status_b,icobi_percolation_weight_c,icobi_percolation_status_c,icobi_sum,icobi_mean,icobi_min,icobi_max
exp_metastable_SiO2_mp-546794,mp_dataset/structures/exp_metastable_SiO2_mp-546794/CONTCAR,6,228,228,,,228,5,0.00015,a,0.00015,ok,0.00016,ok,0.00016,ok,-67.31446999999997,-0.2952389035087718,-7.94222,0.00033,228,5,2e-05,a,2e-05,ok,2e-05,ok,2e-05,ok,6.689900000000008,0.0293416666666667,2e-05,0.74696
exp_metastable_SiRh_mp-2287,mp_dataset/structures/exp_metastable_SiRh_mp-2287/CONTCAR,8,290,290,,,290,5,0.01101,c,0.012669999999999999,ok,0.01343,ok,0.01101,ok,-70.51225000000005,-0.24314568965517258,-2.0132,-0.00125,290,5,0.00596,a,0.00596,ok,0.01068,ok,0.0079,ok,14.216319999999994,0.04902179310344826,0.00127,0.36716
exp_metastable_SiS2_mp-1095294,mp_dataset/structures/exp_metastable_SiS2_mp-1095294/CONTCAR,12,222,222,,,222,3,0.0001,c,0.00029,ok,0.0007999999999999999,ok,0.0001,ok,-98.06875999999994,-0.4417511711711709,-5.93669,0.00325,222,3,5e-05,c,0.00032,ok,0.0005499999999999999,ok,5e-05,ok,16.93051999999999,0.07626360360360356,2e-05,0.92717
exp_metastable_Sn7Ir5_mp-20466,mp_dataset/structures/exp_metastable_Sn7Ir5_mp-20466/CONTCAR,12,258,258,,,258,3,0.01002,b,0.010110000000000001,ok,0.01002,ok,0.01047,ok,-151.67025000000018,-0.5878691860465123,-4.89763,0.02233,258,3,0.00577,a,0.00577,ok,0.0061200000000000004,ok,0.00613,ok,26.705249999999996,0.10350872093023254,0.00169,0.78936
exp_metastable_Sr2As_mp-15697,mp_dataset/structures/exp_metastable_Sr2As_mp-15697/CONTCAR,6,95,95,,,95,5,0.00206,a,0.00206,ok,0.00208,ok,0.05573,ok,-9.587539999999997,-0.10092147368421049,-0.54609,0.0441,95,5,0.00129,b,0.0013,ok,0.00129,ok,0.012879999999999999,ok,2.835899999999999,0.029851578947368413,0.00077,0.15654
exp_metastable_Sr5Sn3_mp-17720,mp_dataset/structures/exp_metastable_Sr5Sn3_mp-17720/CONTCAR,16,154,154,,,154,3,0.010790000000000001,c,0.01302,ok,0.01302,ok,0.010790000000000001,ok,-30.103280000000005,-0.19547584415584418,-2.10291,-0.00254,154,3,0.01174,a,0.01174,ok,0.01184,ok,0.01424,ok,10.295069999999997,0.06685110389610388,0.00156,0.81834
exp_metastable_SrAl2_mp-1638,mp_dataset/structures/exp_metastable_SrAl2_mp-1638/CONTCAR,6,168,168,,,168,5,0.00536,b,0.00538,ok,0.00536,ok,0.00542,ok,-29.716160000000016,-0.17688190476190485,-1.67423,0.01177,168,5,0.00044,a,0.00044,ok,0.00044,ok,0.00044,ok,7.70487,0.045862321428571426,0.00044,0.42847
exp_metastable_Ta7Co6_mp-1104548,mp_dataset/structures/exp_metastable_Ta7Co6_mp-1104548/CONTCAR,13,453,453,,,453,5,0.00031,b,0.0005,ok,0.00031,ok,0.0017599999999999998,ok,-161.79730999999992,-0.3571684547461367,-4.08639,0.29554,453,5,0.00346,a,0.00346,ok,0.00346,ok,0.012879999999999999,ok,35.34048,0.07801430463576159,0.00293,0.68664
exp_metastable_Te2Au_mp-567525,mp_dataset/structures/exp_metastable_Te2Au_mp-567525/CONTCAR,3,54,54,,,54,5,0.01618,c,0.06516,ok,0.06524,ok,0.01618,ok,-25.398409999999988,-0.4703409259259257,-3.75761,-0.00401,54,5,0.00613,c,0.01598,ok,0.016059999999999998,ok,0.00613,ok,4.63244,0.08578592592592592,0.00205,0.61482
exp_metastable_Te2Ir_mp-1551,mp_dataset/structures/exp_metastable_Te2Ir_mp-1551/CONTCAR,9,158,158,,,158,5,0.0028,b,0.0203,ok,0.0028,ok,0.049269999999999994,ok,-98.73954000000002,-0.6249337974683545,-5.02218,0.00049,158,5,0.00054,b,0.01197,ok,0.00054,ok,0.019639999999999998,ok,18.569850000000013,0.11753069620253173,0.00054,0.80215
